iter	RMSE
0	13.67990079
1	13.25836539
2	12.81790809
3	12.41670618
4	12.01185883
5	11.61910265
6	11.24401324
7	10.85632128
8	10.50973075
9	10.16102103
10	9.825620206
11	9.49664018
12	9.208438332
13	8.906278383
14	8.62077042
15	8.333048693
16	8.087811639
17	7.849680294
18	7.593225516
19	7.358859672
20	7.123406115
21	6.907908782
22	6.692864232
23	6.483389496
24	6.289717567
25	6.097353947
26	5.915653145
27	5.728874071
28	5.555690684
29	5.383225203
30	5.218614933
31	5.046867445
32	4.892948696
33	4.737251114
34	4.587994748
35	4.454299136
36	4.323464487
37	4.192018061
38	4.067860623
39	3.953240881
40	3.835566537
41	3.722412758
42	3.61010515
43	3.498536522
44	3.396152281
45	3.290452037
46	3.191786524
47	3.09248088
48	3.000413701
49	2.91626442
50	2.829305626
51	2.744140251
52	2.661160089
53	2.588460542
54	2.512375166
55	2.43922959
56	2.374880691
57	2.30874787
58	2.249204916
59	2.186839466
60	2.123249725
61	2.065627864
62	2.007658407
63	1.951614723
64	1.898644899
65	1.845319718
66	1.798011834
67	1.748066633
68	1.700016707
69	1.655284142
70	1.61093153
71	1.571170365
72	1.531382371
73	1.492085138
74	1.460004015
75	1.421772899
76	1.38369274
77	1.351670268
78	1.320526387
79	1.292847622
80	1.2633777
81	1.235785206
82	1.206994958
83	1.179834939
84	1.153783063
85	1.126897875
86	1.103425456
87	1.079883221
88	1.056975101
89	1.034353169
90	1.013432249
91	0.99315179
92	0.9716325983
93	0.9508213976
94	0.9332672259
95	0.9189284884
96	0.9004449565
97	0.8835183506
98	0.8669011141
99	0.8509722421
100	0.8344710775
101	0.8195246619
102	0.8053578804
103	0.7927388385
104	0.7800935095
105	0.7676869317
106	0.7546004356
107	0.7417579769
108	0.7294253973
109	0.7180215326
110	0.7068536387
111	0.6957592322
112	0.6857820347
113	0.6762781912
114	0.6672203889
115	0.6586070699
116	0.6496261966
117	0.6412673566
118	0.6333644441
119	0.6268243654
120	0.6229841537
121	0.614960938
122	0.6074003351
123	0.6010926358
124	0.5937583886
125	0.5882004061
126	0.5837856933
127	0.5816361104
128	0.5754401552
129	0.5700833063
130	0.5645083296
131	0.5618690945
132	0.5563888231
133	0.5513869491
134	0.5497010641
135	0.5440048431
136	0.5385642349
137	0.5335602371
138	0.530172155
139	0.5247851031
140	0.5196363766
141	0.5182301752
142	0.5137349452
143	0.5092318188
144	0.5054331785
145	0.5011015414
146	0.4996144851
147	0.4956721653
148	0.4919773552
149	0.4885852223
150	0.4862834085
151	0.4849727699
152	0.4817101643
153	0.4796961005
154	0.4761857307
155	0.4750534806
156	0.4720828399
157	0.470710547
158	0.4692890723
159	0.4680758508
160	0.4649676934
161	0.4621076045
162	0.4595577507
163	0.4556793568
164	0.4523553104
165	0.4507817955
166	0.449280884
167	0.4482271302
168	0.4455708156
169	0.444760059
170	0.443910203
171	0.4422696326
172	0.4413834088
173	0.4405578704
174	0.4398166656
175	0.4389078539
176	0.4380823286
177	0.4354931271
178	0.4341445996
179	0.4333237968
180	0.4324222304
181	0.4301894742
182	0.4294379328
183	0.4287142097
184	0.4278933407
185	0.4248710226
186	0.4219492422
187	0.4193056139
188	0.4186054785
189	0.4178901241
190	0.4172566492
191	0.4146920062
192	0.413944803
193	0.4133850414
194	0.412755488
195	0.4121140558
196	0.411544056
197	0.4109875115
198	0.4104767496
199	0.4098468283
200	0.4093215722
201	0.4088794596
202	0.4073711427
203	0.4059279746
204	0.4053941242
205	0.4048768962
206	0.4043256521
207	0.4038651183
208	0.4033791448
209	0.4028614579
210	0.4023962105
211	0.4005867965
212	0.4000991085
213	0.398344209
214	0.3979683333
215	0.3975936603
216	0.3971419914
217	0.3954414649
218	0.3938609579
219	0.3934641668
220	0.393042034
221	0.3926875194
222	0.3912453057
223	0.3908470723
224	0.3905124803
225	0.3901842062
226	0.3885887322
227	0.3860586964
228	0.3850147261
229	0.3837672727
230	0.3834148818
231	0.3830706792
232	0.382734469
233	0.3814551245
234	0.3811319653
235	0.380432177
236	0.3789231089
237	0.3764005587
238	0.3760977989
239	0.3757604018
240	0.3748277635
241	0.3745449736
242	0.3740828396
243	0.3736341176
244	0.3722353431
245	0.3711641724
246	0.3709087704
247	0.3706763788
248	0.3702337274
249	0.37000981
250	0.3677916819
251	0.3660595797
252	0.3658438303
253	0.3656162254
254	0.3654089503
255	0.364272657
256	0.36305022
257	0.3610455295
258	0.3598631418
259	0.3596531338
260	0.3594480648
261	0.3586644969
262	0.3575807788
263	0.3573873209
264	0.3564504641
265	0.3559070096
266	0.355724787
267	0.3555468434
268	0.3547260338
269	0.354112101
270	0.3537253343
271	0.3534175449
272	0.3532580444
273	0.352894536
274	0.3517050637
275	0.351555757
276	0.3510640248
277	0.3501874503
278	0.3496965892
279	0.3493824072
280	0.3490786947
281	0.3487190062
282	0.3485293922
283	0.348344364
284	0.3481638063
285	0.3469701509
286	0.3462058056
287	0.3445831449
288	0.34441114
289	0.3441557026
290	0.3432513391
291	0.3420421251
292	0.3411517251
293	0.3409138526
294	0.3395228309
295	0.3381750126
296	0.3378398785
297	0.3376903072
298	0.336563488
299	0.335033668
300	0.3347146465
301	0.3340970626
302	0.3338048046
303	0.3335499673
304	0.3333570824
305	0.3331393905
306	0.3323573665
307	0.3309802744
308	0.329634646
309	0.3295114987
310	0.3288982954
311	0.3277947204
312	0.3276763628
313	0.3268422804
314	0.3267272872
315	0.3255690894
316	0.3249665364
317	0.32440059
318	0.3237896728
319	0.3232913384
320	0.3231831479
321	0.3230019444
322	0.3228279248
323	0.3218815645
324	0.3206893641
325	0.3205908029
326	0.3204527425
327	0.3195774855
328	0.3188094277
329	0.3187168901
330	0.3186266166
331	0.3181174041
332	0.3174477
333	0.3163149902
334	0.3156929248
335	0.3156075353
336	0.3148551901
337	0.3144200187
338	0.313383589
339	0.3128278205
340	0.3127463062
341	0.3117128029
342	0.3110102463
343	0.3103569527
344	0.3095613636
345	0.3090276732
346	0.3085744125
347	0.3075713201
348	0.3066179651
349	0.3062638934
350	0.3057402105
351	0.305308308
352	0.3045769867
353	0.3043737137
354	0.3041796422
355	0.3031710761
356	0.3024471732
357	0.3017555193
358	0.3012617283
359	0.3009062935
360	0.3007212398
361	0.2995761236
362	0.2990130616
363	0.2979108632
364	0.2974347662
365	0.2969080075
366	0.2960506105
367	0.2957038882
368	0.2950781582
369	0.2947032595
370	0.2937018894
371	0.2934954887
372	0.2928899672
373	0.2919496069
374	0.2910025394
375	0.2906852055
376	0.2899211131
377	0.2893717231
378	0.2887175911
379	0.2882969647
380	0.2877081088
381	0.287033948
382	0.2864166464
383	0.2856988793
384	0.2852453657
385	0.2844742623
386	0.2837733854
387	0.2830179313
388	0.2824281678
389	0.2821280349
390	0.281499285
391	0.2813359502
392	0.2809631148
393	0.2804085063
394	0.2797182651
395	0.2790033803
396	0.2781268098
397	0.2777788593
398	0.2771303337
399	0.2763473367
400	0.2758790005
401	0.2754333029
402	0.2748514834
403	0.2741352268
404	0.273519855
405	0.273188278
406	0.2730168301
407	0.2723785143
408	0.271794436
409	0.2713551107
410	0.2707699232
411	0.2704267188
412	0.2700473727
413	0.2697102388
414	0.2693880868
415	0.2689312663
416	0.2683012488
417	0.2678535416
418	0.2675636093
419	0.2673767816
420	0.2668619227
421	0.2660569861
422	0.2655120835
423	0.2648505305
424	0.2645776899
425	0.2638633474
426	0.2634555952
427	0.2628012759
428	0.2621111584
429	0.2618062011
430	0.2612097288
431	0.260709237
432	0.2602656239
433	0.2599531208
434	0.2594462628
435	0.2589229436
436	0.2586350384
437	0.257980005
438	0.2572167241
439	0.2565739287
440	0.2562758487
441	0.2558612944
442	0.2552887178
443	0.2548102905
444	0.2543534506
445	0.2539073098
446	0.2533670204
447	0.2528744164
448	0.2527570869
449	0.2521517202
450	0.2519812495
451	0.2513536888
452	0.2506288424
453	0.2503471191
454	0.2496646761
455	0.2495097557
456	0.2488564384
457	0.2483802795
458	0.2481568981
459	0.2480753394
460	0.2476620848
461	0.2473557657
462	0.24714122
463	0.2465430459
464	0.2460408771
465	0.2456138524
466	0.2452627154
467	0.2449227635
468	0.2444120056
469	0.2439898886
470	0.2436035905
471	0.24315644
472	0.242613261
473	0.2424439738
474	0.2420020073
475	0.2412940165
476	0.240845279
477	0.2404812769
478	0.240345914
479	0.2397568583
480	0.2392927877
481	0.2387653677
482	0.2381438127
483	0.2377556707
484	0.2371698023
485	0.2367496014
486	0.2366075053
487	0.2362808829
488	0.235636713
489	0.2354820699
490	0.2352503619
491	0.2348162542
492	0.2346003679
493	0.2344684166
494	0.234186622
495	0.2336344915
496	0.2333880477
497	0.2328364668
498	0.2323235995
499	0.2317774741
500	0.2313454953
501	0.23100162
502	0.2308077414
503	0.2303382403
504	0.2300588725
505	0.2296096193
506	0.2291466397
507	0.2288937651
508	0.2285215126
509	0.2281901148
510	0.2279926082
511	0.2276096813
512	0.2271268603
513	0.2268822909
514	0.2262891222
515	0.2257837339
516	0.2254802709
517	0.2250395747
518	0.2245654259
519	0.2241892408
520	0.2241628851
521	0.2238635231
522	0.2234982775
523	0.2230742463
524	0.2230066602
525	0.2227734805
526	0.2224014638
527	0.2222852852
528	0.2221797831
529	0.2221249086
530	0.2216248188
531	0.2212770613
532	0.2207418713
533	0.2202652502
534	0.219874294
535	0.2198094666
536	0.2193799507
537	0.2188203512
538	0.218799501
539	0.2186136757
540	0.2184702691
541	0.217959727
542	0.2176154179
543	0.2173631103
544	0.2168540837
545	0.2164740591
546	0.2159026469
547	0.2153903817
548	0.21492442
549	0.2144975841
550	0.2141978684
551	0.2141381577
552	0.2138716059
553	0.2134645232
554	0.2130279501
555	0.2126451679
556	0.2121786986
557	0.2117946207
558	0.2113813109
559	0.2110751289
560	0.2106581169
561	0.2103016168
562	0.2099664094
563	0.2096549682
564	0.2093128368
565	0.2092595288
566	0.2089743785
567	0.2087230639
568	0.2084590064
569	0.2080571943
570	0.2079024494
571	0.2075784831
572	0.2070756544
573	0.2067697549
574	0.2063985651
575	0.2061161207
576	0.2058498228
577	0.205391024
578	0.2049526754
579	0.2049017735
580	0.2046855839
581	0.2045252041
582	0.2043576867
583	0.2040303018
584	0.2040134485
585	0.2037210464
586	0.2035768576
587	0.2031681332
588	0.2027791264
589	0.2024581646
590	0.2021701188
591	0.2018687382
592	0.201507333
593	0.2013823886
594	0.2010378159
595	0.2008139917
596	0.2006349201
597	0.2005303469
598	0.200252349
599	0.199915913
600	0.1994820544
601	0.1990973275
602	0.1989389058
603	0.1985567804
604	0.198273593
605	0.1980209853
606	0.1976883963
607	0.1974650672
608	0.1971000424
609	0.1968497889
610	0.1964457217
611	0.1964220157
612	0.1962790583
613	0.1960565453
614	0.1958928057
615	0.1956967556
616	0.1954552107
617	0.1950660186
618	0.1949313232
619	0.194621091
620	0.1944023955
621	0.1940755988
622	0.1937912185
623	0.1934276988
624	0.1930761951
625	0.1927825015
626	0.1926425115
627	0.1922856994
628	0.1920935105
629	0.1918110256
630	0.1915788209
631	0.1915602656
632	0.1915119407
633	0.1914684451
634	0.1912684222
635	0.1908069143
636	0.1904982918
637	0.1902218295
638	0.1899516209
639	0.1897014468
640	0.1892904909
641	0.1892244648
642	0.1889571637
643	0.1885437418
644	0.1882310883
645	0.187948339
646	0.1877612978
647	0.1875708913
648	0.1872735355
649	0.1869611812
650	0.1866078945
651	0.1864713159
652	0.1860675564
653	0.1858900821
654	0.1856443129
655	0.1853375217
656	0.1853130165
657	0.1850270245
658	0.1847379582
659	0.1845134446
660	0.1842403308
661	0.1840720641
662	0.1840537686
663	0.1837839642
664	0.1835972832
665	0.183281356
666	0.1829808096
667	0.1827221366
668	0.1824433649
669	0.1822031033
670	0.1819568363
671	0.1819119984
672	0.1818769744
673	0.181526682
674	0.1812259122
675	0.1810269371
676	0.1807725535
677	0.1807052828
678	0.1803711157
679	0.1799738222
680	0.179788554
681	0.179763861
682	0.1795583992
683	0.1794094603
684	0.1791584795
685	0.1787732403
686	0.1786587929
687	0.1783629004
688	0.1780902962
689	0.1780466207
690	0.1776901703
691	0.1774282006
692	0.1772932907
693	0.1772671204
694	0.1770056299
695	0.1767416219
696	0.1766304012
697	0.1764876005
698	0.176256158
699	0.1760922941
700	0.1758255419
701	0.1755597424
702	0.175437808
703	0.1751909974
704	0.174977419
705	0.1746786092
706	0.1744281688
707	0.1743243206
708	0.1741507614
709	0.1739885179
710	0.1738815515
711	0.1735506746
712	0.1732939084
